target,id,date,flag,user,comment
0,2200003196,Tue Jun 16 18:18:12 PDT 2009,NO_QUERY,LaLaLindsey0609,@chrishasboobs AHHH I HOPE YOUR OK!!! 
0,1467998485,Mon Apr 06 23:11:14 PDT 2009,NO_QUERY,sexygrneyes,"@misstoriblack cool , i have no tweet apps  for my razr 2"
0,2300048954,Tue Jun 23 13:40:11 PDT 2009,NO_QUERY,sammydearr,"@TiannaChaos i know  just family drama. its lame.hey next time u hang out with kim n u guys like have a sleepover or whatever, ill call u"
0,1993474027,Mon Jun 01 10:26:07 PDT 2009,NO_QUERY,Lamb_Leanne,School email won't open  and I have geography stuff on there to revise! *Stupid School* :'(
0,2256550904,Sat Jun 20 12:56:51 PDT 2009,NO_QUERY,yogicerdito,upper airways problem 
0,2052380495,Sat Jun 06 00:32:16 PDT 2009,NO_QUERY,Yengching,Going to miss Pastor's sermon on Faith... 
1,1983449090,Sun May 31 13:10:36 PDT 2009,NO_QUERY,jessig06,on lunch....dj should come eat with me 
0,2245479748,Fri Jun 19 16:11:29 PDT 2009,NO_QUERY,felicityfuller,@piginthepoke oh why are you feeling like that? 
0,1770705699,Mon May 11 22:01:32 PDT 2009,NO_QUERY,stephiiheyy,gahh noo!peyton needs to live!this is horrible 
1,1970386589,Sat May 30 03:39:34 PDT 2009,NO_QUERY,wyndwitch,@mrstessyman thank you glad you like it! There is a product review bit on the site  Enjoy knitting it!
1,2052206835,Fri Jun 05 23:59:27 PDT 2009,NO_QUERY,salmafan,@PerezHilton Zach makes me pee sitting down! And I'm a grown gay man! 
1,1992273171,Mon Jun 01 08:29:05 PDT 2009,NO_QUERY,spanishman,to sum up my day in one word ......... kackered! 
1,2069921255,Sun Jun 07 16:46:29 PDT 2009,NO_QUERY,DannyMacRant,@k9wkj Great minds think alike 
0,2204735567,Wed Jun 17 03:00:02 PDT 2009,NO_QUERY,Arabellakind,Is Poorly and in bed! 
1,1553585468,Sat Apr 18 14:39:59 PDT 2009,NO_QUERY,Reisei,"@LilPecan Oh, that's really great  Here we have a small blizzard and also cold wind blows..."
1,1834598659,Mon May 18 03:32:38 PDT 2009,NO_QUERY,andylackie,"@wizely lol, calm down.  i got a 30day loan offer for only 1500% "
